iter	Passed	Remaining
644	3331	1833
645	3333	1826
646	3337	1820
647	3342	1815
648	3345	1809
649	3349	1803
650	3352	1797
651	3357	1792
652	3360	1785
653	3363	1779
654	3366	1773
655	3368	1766
656	3374	1761
657	3377	1755
658	3381	1749
659	3383	1742
660	3389	1738
661	3392	1732
662	3394	1725
663	3397	1718
664	3399	1712
665	3405	1707
666	3408	1701
667	3411	1695
668	3413	1688
669	3416	1682
670	3419	1676
671	3422	1670
672	3424	1664
673	3427	1657
674	3430	1651
675	3433	1645
676	3435	1639
677	3437	1632
678	3440	1626
679	3448	1622
680	3451	1616
681	3455	1611
682	3457	1604
683	3462	1599
684	3474	1597
685	3485	1595
686	3487	1588
687	3489	1582
688	3497	1578
689	3501	1572
690	3503	1566
691	3516	1564
692	3518	1558
693	3521	1552
694	3532	1550
695	3534	1543
696	3536	1537
697	3545	1533
698	3549	1528
699	3551	1522
700	3561	1519
701	3565	1513
702	3567	1507
703	3577	1504
704	3580	1498
705	3582	1491
706	3593	1489
707	3595	1483
708	3598	1476
709	3603	1471
710	3610	1467
711	3613	1461
712	3622	1457
713	3625	1452
714	3628	1446
715	3630	1439
716	3640	1436
717	3642	1430
718	3644	1424
719	3655	1421
720	3657	1415
721	3660	1409
722	3670	1406
723	3673	1400
724	3675	1394
725	3683	1390
726	3687	1384
727	3689	1378
728	3691	1372
729	3697	1367
730	3700	1361
731	3703	1356
732	3707	1350
733	3713	1345
734	3715	1339
735	3718	1333
736	3720	1327
737	3723	1321
738	3727	1316
739	3729	1310
740	3732	1304
741	3734	1298
742	3736	1292
743	3739	1286
744	3743	1281
745	3746	1275
746	3748	1269
747	3751	1263
748	3753	1257
749	3761	1253
750	3763	1247
751	3766	1242
752	3768	1236
753	3771	1230
754	3774	1224
755	3776	1218
756	3779	1213
757	3781	1207
758	3783	1201
759	3788	1196
760	3792	1190
761	3795	1185
762	3798	1179
763	3801	1174
764	3804	1168
765	3806	1162
766	3808	1157
767	3811	1151
768	3813	1145
769	3818	1140
770	3821	1134
771	3823	1129
772	3825	1123
773	3828	1117
774	3831	1112
775	3834	1106
776	3836	1101
777	3839	1095
778	3841	1089
779	3843	1084
780	3848	1079
781	3853	1074
782	3855	1068
783	3858	1062
784	3861	1057
785	3869	1053
786	3871	1047
787	3874	1042
788	3887	1039
789	3890	1034
790	3904	1031
791	3907	1026
792	3919	1023
793	3921	1017
794	3923	1011
795	3934	1008
796	3936	1002
797	3938	997
798	3946	992
799	3950	987
800	3953	982
801	3959	977
802	3964	972
803	3967	967
804	3970	961
